,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
51,male,group C,high school,standard,none,59,67,61
52,female,group B,some college,standard,none,59,72,70
53,male,group A,some college,free/reduced,completed,60,61,59
54,female,group C,bachelor's degree,standard,completed,55,71,77
55,female,group C,high school,standard,completed,75,87,85
56,male,group B,associate's degree,free/reduced,none,53,46,45
57,female,group B,high school,free/reduced,completed,56,73,73
58,female,group B,high school,standard,none,43,47,44
59,male,group D,associate's degree,standard,none,68,71,74
60,female,group E,some high school,standard,none,88,90,89
61,male,group D,some high school,standard,completed,66,63,65
62,male,group E,associate's degree,standard,completed,83,88,88
63,female,group D,associate's degree,free/reduced,none,34,40,41
64,female,group C,high school,standard,completed,64,69,71
65,female,group D,high school,standard,none,76,75,70
66,male,group D,associate's degree,standard,none,48,44,44
67,female,group C,master's degree,standard,completed,72,83,87
68,female,group C,high school,standard,none,41,51,54
69,male,group C,some high school,standard,completed,77,80,86
70,male,group B,bachelor's degree,standard,completed,92,100,97
71,female,group E,high school,standard,none,83,83,85
72,male,group B,associate's degree,standard,none,60,53,53
73,female,group B,some college,standard,none,39,39,39
74,female,group A,associate's degree,free/reduced,completed,61,74,74
75,male,group C,bachelor's degree,free/reduced,completed,45,51,49
76,female,group C,some high school,standard,none,71,95,82
77,female,group A,some college,standard,none,62,70,62
78,male,group D,associate's degree,free/reduced,none,30,35,30
79,female,group D,some college,standard,none,76,76,83
80,female,group D,high school,standard,completed,57,69,72
81,male,group C,some college,standard,none,62,57,58
82,male,group B,some high school,standard,completed,79,70,71
83,female,group C,high school,standard,none,54,64,55
84,female,group D,bachelor's degree,free/reduced,none,56,76,78
85,male,group B,bachelor's degree,standard,none,97,92,85
86,male,group E,some college,standard,none,98,89,78
87,female,group E,associate's degree,standard,none,55,55,55
88,male,group C,associate's degree,free/reduced,completed,67,70,69
89,male,group C,associate's degree,standard,none,67,68,67
90,female,group E,some college,free/reduced,none,77,78,81
91,male,group D,high school,standard,none,83,73,71
92,female,group B,bachelor's degree,free/reduced,completed,66,85,87
93,male,group C,bachelor's degree,free/reduced,completed,61,67,67
94,male,group D,bachelor's degree,standard,none,67,65,61
95,female,group D,high school,standard,none,62,58,64
96,male,group D,some college,free/reduced,completed,71,71,70
97,female,group E,some high school,standard,none,69,70,61
98,male,group B,associate's degree,standard,completed,89,93,96
99,female,group C,bachelor's degree,free/reduced,completed,57,76,75
100,female,group E,associate's degree,standard,none,79,76,74
101,male,group D,master's degree,standard,completed,100,99,100
102,female,group C,high school,standard,none,54,66,56
103,female,group A,high school,standard,completed,56,67,73
104,male,group E,high school,free/reduced,completed,93,81,79
105,female,group A,high school,standard,completed,77,83,87
106,male,group D,associate's degree,standard,completed,72,66,71
107,male,group C,bachelor's degree,standard,none,98,93,85
108,female,group B,some college,free/reduced,none,46,57,52
109,female,group D,bachelor's degree,standard,completed,62,89,88
110,female,group C,some high school,standard,completed,95,94,98
111,male,group D,associate's degree,free/reduced,none,81,79,82
112,female,group B,bachelor's degree,standard,completed,60,77,82
113,male,group C,associate's degree,standard,none,73,53,58
114,female,group C,high school,standard,completed,62,71,75
115,male,group E,bachelor's degree,standard,none,85,79,67
116,female,group D,some high school,free/reduced,completed,47,59,67
117,female,group D,high school,standard,none,63,68,69
118,female,group A,associate's degree,standard,completed,60,75,71
119,male,group B,high school,standard,none,71,68,65
120,female,group E,some college,standard,completed,99,100,99
121,male,group C,bachelor's degree,free/reduced,none,65,52,50
122,female,group C,some college,standard,none,57,71,73
123,female,group D,high school,free/reduced,none,43,47,54
124,male,group E,associate's degree,standard,none,65,60,61
125,male,group B,some high school,standard,none,75,77,73
126,male,group D,master's degree,standard,completed,81,78,82
127,male,group B,bachelor's degree,standard,completed,72,81,76
128,male,group D,associate's degree,standard,completed,87,86,95
129,female,group E,some college,standard,completed,64,65,74
130,male,group C,associate's degree,free/reduced,none,76,75,74
131,female,group D,some high school,standard,none,70,74,78
132,male,group C,high school,standard,none,65,61,58
133,female,group C,associate's degree,standard,none,72,94,85
134,male,group C,master's degree,standard,none,71,66,65
135,female,group C,some high school,standard,none,63,72,73
136,female,group C,bachelor's degree,standard,completed,68,72,78
137,male,group E,some high school,standard,none,82,77,75
138,male,group D,high school,standard,none,65,56,57
139,male,group E,some high school,standard,completed,64,64,61
140,male,group E,associate's degree,standard,completed,93,95,94
141,female,group C,some college,standard,none,58,63,66
142,male,group C,bachelor's degree,free/reduced,none,45,40,34
143,male,group A,high school,free/reduced,none,64,61,56
144,female,group C,some high school,standard,completed,70,76,76
145,female,group B,some high school,standard,none,62,72,65
146,male,group C,bachelor's degree,standard,completed,69,69,66
147,female,group C,associate's degree,standard,completed,93,100,100
148,female,group D,some high school,free/reduced,none,41,62,61
149,male,group B,high school,standard,none,49,44,44
150,female,group C,associate's degree,standard,completed,76,78,81
151,male,group E,bachelor's degree,free/reduced,none,70,70,59
152,male,group B,high school,standard,completed,84,75,73
153,female,group D,bachelor's degree,standard,none,63,64,65
154,female,group C,associate's degree,standard,none,59,68,61
155,male,group B,high school,free/reduced,completed,54,64,52
156,male,group B,bachelor's degree,standard,none,55,63,55
157,female,group B,bachelor's degree,standard,none,79,73,75
158,male,group D,associate's degree,free/reduced,none,59,61,59
159,male,group D,associate's degree,free/reduced,none,85,86,82
160,male,group E,high school,free/reduced,completed,63,70,64
161,male,group D,some college,standard,completed,76,76,75
162,male,group C,high school,standard,none,69,62,57
163,female,group B,bachelor's degree,standard,none,47,54,53
164,female,group B,some high school,standard,none,55,63,64
165,female,group A,some high school,standard,none,57,58,58
166,male,group C,some college,free/reduced,none,37,52,43
167,female,group B,bachelor's degree,free/reduced,none,62,75,75
168,male,group E,some high school,standard,completed,85,67,66
169,female,group E,some high school,standard,completed,74,79,82
170,female,group A,some college,standard,none,78,90,87
171,male,group A,some college,standard,completed,76,72,75
172,female,group C,high school,free/reduced,none,50,56,58
173,male,group E,some college,standard,completed,65,62,60
174,female,group C,high school,free/reduced,completed,23,43,44
175,female,group D,associate's degree,free/reduced,completed,55,71,68
176,female,group E,some high school,standard,none,54,75,69
177,male,group C,high school,standard,none,84,77,78
178,male,group B,associate's degree,free/reduced,completed,57,54,61
179,male,group A,master's degree,standard,completed,87,84,82
180,female,group C,master's degree,free/reduced,none,21,32,38
181,female,group D,associate's degree,free/reduced,completed,45,62,65
182,female,group D,some high school,free/reduced,none,61,68,67
183,male,group B,associate's degree,standard,none,67,70,65
184,male,group D,high school,standard,none,84,71,66
185,male,group C,bachelor's degree,standard,none,72,67,63
186,male,group D,some college,standard,none,69,66,61
187,female,group D,bachelor's degree,standard,none,81,88,89
188,male,group B,some high school,free/reduced,completed,75,71,67
189,female,group B,high school,standard,none,61,72,64
190,male,group C,high school,standard,completed,89,75,81
191,female,group D,associate's degree,free/reduced,completed,81,91,88
192,female,group C,some college,standard,none,51,53,57
193,female,group C,high school,standard,completed,79,83,85
194,female,group D,some college,standard,completed,51,58,59
195,male,group C,master's degree,standard,none,72,78,71
196,female,group C,some high school,free/reduced,completed,62,90,82
197,female,group C,some college,free/reduced,completed,62,78,80
198,female,group C,associate's degree,free/reduced,none,44,54,59
199,male,group B,master's degree,standard,none,62,56,53
200,male,group E,some college,standard,none,76,75,68
201,male,group B,some high school,standard,completed,77,79,81
202,male,group B,some high school,standard,none,89,74,79
203,female,group C,some college,standard,none,58,60,63
204,female,group D,associate's degree,standard,none,47,55,62
205,male,group C,associate's degree,standard,none,42,42,45
206,female,group C,some college,free/reduced,none,61,70,75
207,male,group E,some college,free/reduced,none,67,59,54
208,male,group D,associate's degree,standard,none,66,69,68
209,male,group D,high school,free/reduced,none,49,46,45
210,female,group E,master's degree,free/reduced,completed,84,90,96
211,female,group E,some high school,free/reduced,none,75,86,83
212,female,group E,some high school,standard,completed,76,75,81
213,male,group B,bachelor's degree,standard,none,66,54,57
214,male,group D,some college,standard,completed,75,73,78
215,female,group B,bachelor's degree,standard,completed,63,77,72
216,female,group B,some high school,free/reduced,none,58,65,59
217,female,group D,some college,standard,none,53,74,72
218,female,group A,some high school,standard,none,74,79,79
219,male,group B,bachelor's degree,free/reduced,none,39,46,36
220,male,group C,some high school,free/reduced,completed,51,41,45
221,female,group B,some college,standard,none,80,83,92
222,female,group C,some college,standard,none,46,55,57
223,male,group D,high school,free/reduced,none,57,61,58
224,female,group C,bachelor's degree,standard,completed,79,93,92
225,male,group A,some college,standard,none,96,84,82
226,female,group E,associate's degree,standard,none,65,69,67
227,male,group E,some college,standard,completed,71,72,69
228,male,group D,associate's degree,standard,none,95,87,83
229,male,group C,associate's degree,standard,completed,71,68,67
230,male,group C,some college,free/reduced,completed,49,45,50
231,female,group E,some high school,standard,completed,93,96,93
232,male,group B,high school,standard,none,57,39,39
233,female,group D,associate's degree,standard,completed,67,69,84
234,female,group B,high school,free/reduced,completed,32,53,50
235,male,group C,master's degree,standard,none,99,80,85
236,male,group C,some high school,free/reduced,none,62,54,56
237,female,group B,associate's degree,standard,completed,71,78,84
238,male,group D,some high school,free/reduced,none,50,51,52
239,male,group C,some high school,standard,none,74,71,68
240,female,group E,master's degree,free/reduced,none,42,40,43
241,female,group D,some high school,free/reduced,none,46,55,54
242,female,group B,some college,free/reduced,none,49,61,57
243,female,group C,high school,free/reduced,none,44,42,43
244,male,group D,bachelor's degree,standard,none,79,67,63
245,male,group E,associate's degree,standard,none,84,86,83
246,male,group E,some high school,standard,completed,77,70,66
247,male,group B,some college,standard,completed,78,65,76
248,male,group B,bachelor's degree,standard,none,68,69,64
249,female,group E,some college,standard,none,61,66,63
250,female,group D,some college,standard,none,73,89,85
251,male,group D,some college,standard,none,74,72,72
252,female,group B,some high school,standard,none,90,82,76
253,male,group D,some college,standard,none,65,73,65
254,male,group D,high school,free/reduced,none,53,53,51
255,female,group D,associate's degree,free/reduced,none,10,21,26
256,female,group B,high school,standard,completed,74,77,83
257,male,group D,some college,free/reduced,none,46,48,42
258,female,group C,high school,standard,none,66,79,76
259,male,group C,some high school,standard,completed,59,53,55
260,female,group A,some college,standard,none,62,70,73
261,female,group D,high school,standard,completed,68,77,78
262,female,group B,bachelor's degree,standard,none,86,98,98
263,female,group C,high school,standard,none,62,64,68
264,male,group D,associate's degree,standard,none,77,84,75
265,female,group C,some college,standard,none,59,70,67
266,male,group C,associate's degree,standard,none,73,78,68
267,female,group C,some college,standard,completed,84,98,96
268,male,group C,some college,free/reduced,none,58,57,47
269,male,group C,some high school,free/reduced,none,34,44,37
270,female,group B,some college,free/reduced,completed,62,80,77
271,female,group D,some high school,free/reduced,none,75,79,81
272,male,group B,associate's degree,standard,completed,81,61,68
273,male,group C,some high school,standard,none,46,51,47
274,female,group C,master's degree,free/reduced,none,63,78,71
275,female,group D,high school,free/reduced,completed,72,74,87
276,male,group D,bachelor's degree,standard,none,93,81,84
277,male,group B,bachelor's degree,standard,completed,77,72,72
278,male,group E,associate's degree,standard,completed,83,77,82
279,male,group C,master's degree,free/reduced,none,90,93,82
280,male,group D,master's degree,standard,none,74,61,66
281,female,group D,some college,standard,none,70,70,75
282,male,group D,associate's degree,standard,none,88,83,82
283,female,group C,bachelor's degree,free/reduced,completed,69,78,83
284,female,group B,some high school,free/reduced,completed,70,66,77
285,male,group B,some high school,standard,none,75,66,61
286,female,group C,bachelor's degree,standard,completed,72,83,80
287,female,group C,associate's degree,free/reduced,completed,46,63,58
288,male,group B,high school,standard,none,48,49,41
289,male,group D,some high school,standard,none,72,68,65
290,female,group D,high school,standard,none,84,90,88
291,male,group C,some college,standard,completed,56,60,65
292,male,group C,associate's degree,standard,completed,61,58,65
293,male,group C,associate's degree,free/reduced,completed,69,80,73
294,male,group B,associate's degree,standard,none,78,75,72
295,male,group E,high school,free/reduced,completed,81,77,75
296,male,group B,master's degree,standard,completed,68,64,68
297,male,group B,high school,standard,completed,82,79,75
298,male,group D,associate's degree,free/reduced,completed,68,60,66
299,female,group C,some high school,free/reduced,none,56,68,63
300,male,group C,some high school,standard,completed,92,82,78
301,female,group B,some high school,standard,none,43,53,49
302,female,group E,master's degree,free/reduced,none,61,59,61
303,female,group B,some high school,free/reduced,none,42,47,47
304,female,group C,high school,free/reduced,none,51,61,65
305,male,group C,some high school,free/reduced,none,71,68,60
306,male,group E,associate's degree,free/reduced,completed,97,92,85
307,male,group A,some high school,standard,none,56,40,43
308,male,group E,master's degree,standard,none,100,94,93
309,female,group C,high school,free/reduced,completed,61,81,81
310,female,group C,high school,standard,completed,78,86,77
311,male,group E,high school,standard,none,76,68,65
312,female,group B,some high school,free/reduced,none,37,43,44
313,female,group E,master's degree,standard,completed,86,82,86
314,female,group D,bachelor's degree,standard,none,71,76,83
315,male,group E,some college,standard,none,93,81,76
316,male,group C,master's degree,standard,completed,72,65,70
317,male,group E,some college,free/reduced,none,77,66,59
318,female,group D,high school,standard,none,40,48,47
319,male,group D,some high school,standard,none,29,36,30
320,male,group E,some high school,standard,completed,73,65,65
321,male,group C,associate's degree,standard,completed,86,78,77
322,female,group D,master's degree,free/reduced,none,76,85,86
323,male,group E,some high school,standard,none,59,42,35
324,female,group E,some college,free/reduced,none,48,53,46
325,female,group D,some college,standard,completed,61,75,71
326,male,group A,associate's degree,standard,completed,96,85,87
327,male,group B,bachelor's degree,standard,none,80,68,64
328,male,group B,some college,standard,none,90,78,79
329,female,group D,high school,standard,none,56,52,61
330,female,group E,bachelor's degree,standard,completed,97,100,100
331,female,group A,some college,standard,none,77,90,86
332,female,group C,some high school,standard,none,49,53,52
333,female,group B,some high school,standard,completed,40,50,53
334,female,group C,some high school,standard,none,47,51,45
335,female,group C,associate's degree,standard,completed,70,79,74
336,female,group C,some high school,standard,completed,90,100,100
337,female,group A,master's degree,standard,none,86,100,100
338,female,group C,some college,free/reduced,completed,60,69,74
339,male,group D,master's degree,standard,none,49,48,48
340,male,group E,some high school,standard,none,88,82,67
341,male,group D,associate's degree,standard,completed,92,82,86
342,female,group D,associate's degree,standard,completed,74,85,88
343,male,group C,some high school,free/reduced,none,40,49,42
344,male,group D,associate's degree,standard,none,79,61,67
345,male,group C,high school,standard,completed,66,62,59
346,female,group D,some college,free/reduced,none,59,66,63
347,male,group C,high school,free/reduced,none,64,66,60
348,female,group C,some college,standard,none,78,85,80
349,male,group D,associate's degree,standard,none,77,73,70
350,male,group D,associate's degree,free/reduced,none,52,50,52
351,female,group C,high school,standard,none,80,97,88
352,male,group A,associate's degree,free/reduced,none,60,57,53
353,female,group C,some college,standard,none,78,94,92
354,female,group D,associate's degree,standard,completed,54,59,57
355,female,group A,some high school,free/reduced,none,32,47,39
356,male,group E,some high school,standard,completed,83,70,74
357,female,group C,bachelor's degree,standard,none,52,60,68
358,male,group E,associate's degree,standard,completed,81,75,74
359,male,group C,some college,standard,none,75,68,66
360,female,group C,some high school,standard,completed,67,79,79
361,male,group E,some college,standard,none,55,51,49
362,female,group D,some high school,free/reduced,completed,40,50,54
363,female,group B,some college,standard,none,68,73,66
364,female,group D,high school,standard,none,68,78,76
365,female,group D,bachelor's degree,standard,none,68,75,79
366,male,group C,high school,free/reduced,completed,62,58,54
367,female,group D,associate's degree,free/reduced,none,53,61,61
368,male,group C,some college,standard,none,70,66,67
369,male,group E,associate's degree,standard,none,100,86,81
370,male,group C,associate's degree,free/reduced,none,59,58,52
371,male,group A,some high school,standard,none,75,75,70
372,male,group D,high school,free/reduced,none,62,62,61
373,female,group D,bachelor's degree,free/reduced,none,59,73,68
374,male,group E,high school,standard,completed,84,75,78
375,male,group D,some high school,standard,none,69,73,65
376,female,group D,some high school,free/reduced,none,53,64,66
377,female,group E,some high school,standard,none,87,91,93
378,male,group E,some high school,standard,completed,94,96,88
379,male,group B,some high school,standard,completed,64,53,50
380,male,group D,some high school,standard,none,47,45,45
381,female,group D,high school,free/reduced,completed,31,51,54
382,female,group D,bachelor's degree,standard,completed,97,100,100
383,female,group B,master's degree,standard,completed,64,75,79
384,female,group D,some high school,standard,none,47,62,53
385,male,group C,master's degree,standard,completed,78,64,67
386,male,group B,bachelor's degree,free/reduced,none,73,70,61
387,female,group D,bachelor's degree,standard,completed,88,93,100
388,male,group A,master's degree,standard,completed,84,81,85
389,female,group D,some college,standard,completed,75,84,83
390,female,group E,associate's degree,standard,none,65,72,72
391,male,group B,associate's degree,standard,none,70,65,58
392,female,group C,some college,free/reduced,none,69,77,80
393,male,group C,bachelor's degree,free/reduced,none,61,60,57
394,male,group C,high school,free/reduced,none,74,70,70
395,male,group B,some high school,standard,completed,77,73,66
396,male,group A,high school,standard,none,89,80,78
397,male,group C,some college,standard,none,66,64,54
398,female,group C,associate's degree,free/reduced,none,72,83,80
399,female,group C,some high school,free/reduced,none,48,70,59
400,female,group D,high school,free/reduced,none,58,71,71
401,female,group B,high school,free/reduced,none,53,59,60
402,female,group B,bachelor's degree,free/reduced,none,67,80,73
403,male,group C,some college,free/reduced,completed,33,41,34
404,female,group E,associate's degree,standard,completed,83,84,83
405,female,group C,some college,standard,completed,60,83,79
406,female,group C,high school,free/reduced,none,63,76,72
407,female,group D,bachelor's degree,standard,completed,70,81,92
408,female,group B,some college,free/reduced,none,41,54,49
409,male,group E,some college,free/reduced,completed,100,95,86
410,male,group B,some college,standard,none,54,44,48
411,female,group D,high school,free/reduced,none,38,45,41
412,male,group D,associate's degree,standard,completed,95,100,98
413,female,group D,associate's degree,standard,completed,72,76,74
414,male,group D,high school,free/reduced,none,63,57,53
415,female,group D,some college,free/reduced,completed,64,78,80
416,male,group C,some college,standard,none,56,58,58
417,female,group C,some college,free/reduced,completed,28,45,41
418,male,group C,some high school,standard,none,91,70,69
419,male,group B,associate's degree,standard,none,63,62,57
420,male,group B,associate's degree,standard,none,80,77,70
421,male,group B,master's degree,standard,none,66,68,64
422,male,group C,some college,free/reduced,none,55,57,44
423,male,group E,master's degree,standard,none,98,93,88
424,male,group B,bachelor's degree,free/reduced,none,48,47,50
425,female,group C,some college,standard,completed,62,72,69
426,male,group D,associate's degree,free/reduced,none,49,47,43
427,male,group D,master's degree,standard,none,72,64,65
428,female,group E,bachelor's degree,free/reduced,none,77,80,86
429,male,group B,associate's degree,standard,completed,77,75,77
430,female,group B,bachelor's degree,standard,none,57,65,70
431,male,group D,some high school,standard,none,82,71,70
432,female,group D,some high school,standard,none,76,76,77
433,male,group C,master's degree,free/reduced,completed,90,91,84
434,male,group B,some college,standard,completed,64,81,77
435,female,group C,associate's degree,standard,none,55,50,52
436,female,group D,high school,free/reduced,completed,42,57,64
437,male,group E,master's degree,standard,none,83,87,77
438,female,group B,some high school,standard,completed,56,67,72
439,female,group B,some college,free/reduced,completed,51,65,59
440,female,group C,associate's degree,standard,none,83,90,92
441,female,group C,bachelor's degree,standard,none,88,99,97
442,male,group B,bachelor's degree,standard,none,64,63,57
443,male,group A,master's degree,free/reduced,none,49,48,43
444,male,group B,some high school,standard,none,64,61,57
445,female,group E,some college,standard,none,86,81,84
446,female,group E,high school,standard,completed,72,71,70
447,female,group C,high school,standard,none,52,71,63
448,female,group C,some college,standard,none,60,69,70
449,male,group E,some college,standard,none,62,50,54
450,male,group C,high school,free/reduced,none,68,62,56
451,female,group C,some high school,standard,completed,74,80,79
452,male,group D,master's degree,standard,none,70,66,66
453,female,group C,some college,free/reduced,none,59,79,75
454,male,group D,associate's degree,standard,completed,74,73,73
455,female,group D,some college,free/reduced,completed,52,61,62
456,female,group B,associate's degree,standard,completed,57,64,68
457,male,group C,master's degree,free/reduced,none,89,84,77
458,male,group E,some college,standard,completed,74,61,65
459,female,group D,bachelor's degree,free/reduced,none,60,75,70
460,male,group D,associate's degree,standard,none,58,51,52
461,female,group C,associate's degree,standard,none,87,94,96
462,female,group A,some college,free/reduced,none,74,84,85
463,female,group E,some college,free/reduced,none,73,80,78
464,female,group E,associate's degree,free/reduced,completed,71,74,81
465,male,group B,bachelor's degree,free/reduced,none,78,63,62
466,male,group D,some high school,standard,none,93,79,81
467,female,group D,bachelor's degree,free/reduced,completed,86,100,100
468,male,group B,some college,free/reduced,none,49,43,37
469,female,group D,bachelor's degree,free/reduced,none,71,72,68
470,male,group C,high school,standard,completed,71,75,79
471,female,group B,associate's degree,standard,none,72,82,74
472,male,group B,high school,standard,none,64,70,57
473,female,group E,some college,standard,completed,83,87,90
474,female,group D,bachelor's degree,standard,completed,75,91,97
475,male,group C,high school,standard,none,68,68,65
476,male,group D,some high school,free/reduced,completed,65,73,71
477,male,group B,some college,standard,none,83,66,66
478,female,group D,associate's degree,standard,none,41,47,49
479,male,group D,some high school,standard,completed,63,54,57
480,female,group D,bachelor's degree,free/reduced,none,56,74,69
481,female,group D,high school,free/reduced,none,67,87,77
482,female,group E,master's degree,standard,none,97,95,96
483,female,group B,associate's degree,free/reduced,none,40,55,56
484,female,group B,high school,standard,none,61,71,68
485,male,group E,some college,standard,completed,82,87,86
486,male,group E,some college,free/reduced,completed,61,62,61
487,female,group C,bachelor's degree,standard,completed,65,73,76
488,female,group B,high school,standard,completed,70,89,94
489,male,group D,associate's degree,standard,none,78,80,72
490,female,group C,some high school,standard,none,68,84,79
491,male,group C,master's degree,free/reduced,none,56,56,57
492,male,group C,high school,standard,none,49,50,45
493,female,group C,some college,standard,completed,58,74,81
494,male,group C,bachelor's degree,standard,none,82,66,74
495,female,group E,some college,free/reduced,none,55,73,67
496,female,group D,bachelor's degree,free/reduced,none,53,58,60
497,male,group D,master's degree,standard,completed,94,88,92
498,female,group C,some college,free/reduced,none,29,38,31
499,male,group C,bachelor's degree,standard,completed,52,48,55
500,female,group C,high school,free/reduced,none,32,45,39
501,male,group B,some college,standard,none,75,66,68
502,male,group C,high school,standard,completed,68,71,64
503,female,group C,some high school,standard,none,66,79,73
504,male,group E,associate's degree,free/reduced,none,98,81,78
505,male,group C,some high school,standard,none,69,60,57
506,male,group C,some college,standard,completed,70,76,76
507,male,group B,some high school,standard,completed,93,83,77
508,male,group B,bachelor's degree,free/reduced,none,64,59,60
509,female,group C,some college,standard,completed,72,83,86
510,female,group C,high school,standard,completed,70,78,86
511,male,group D,some college,free/reduced,none,61,56,58
512,female,group A,high school,standard,completed,73,81,83
513,female,group C,some high school,standard,none,48,59,58
514,female,group D,associate's degree,standard,completed,68,76,79
515,female,group E,some high school,standard,none,67,68,67
516,female,group D,some college,free/reduced,none,70,78,75
517,female,group C,some college,standard,none,71,67,72
518,male,group C,some high school,standard,none,82,78,76
519,male,group A,high school,standard,none,77,75,65
520,female,group D,bachelor's degree,standard,completed,85,90,87
521,female,group D,some high school,standard,none,60,74,73
522,female,group C,high school,standard,none,63,78,77
523,female,group C,some high school,standard,none,50,59,56
524,male,group C,high school,standard,completed,83,75,69
525,female,group A,bachelor's degree,free/reduced,none,43,48,50
526,female,group B,bachelor's degree,standard,completed,77,79,86
527,female,group E,associate's degree,free/reduced,completed,71,74,72
528,female,group B,master's degree,free/reduced,none,36,44,41
529,female,group C,some high school,standard,none,40,53,45
530,male,group C,some high school,free/reduced,none,56,60,60
531,female,group A,some high school,standard,completed,69,86,79
532,female,group B,some high school,standard,none,57,63,63
533,male,group B,some high school,standard,completed,69,65,61
534,female,group B,associate's degree,standard,none,80,88,86
535,male,group C,high school,free/reduced,completed,71,73,70
536,female,group D,some college,standard,none,72,80,83
537,female,group C,some college,free/reduced,completed,74,97,93
538,male,group D,associate's degree,standard,none,69,63,60
539,male,group E,some college,standard,completed,89,80,81
540,male,group E,high school,standard,none,83,66,64
541,male,group B,high school,standard,completed,72,73,75
542,female,group B,associate's degree,standard,none,58,61,59
543,female,group A,some high school,free/reduced,none,47,60,54
544,female,group D,some college,standard,none,75,85,86
545,female,group E,some high school,standard,completed,81,91,95
546,female,group E,some high school,standard,completed,89,95,99
547,female,group D,high school,standard,completed,87,84,84
548,male,group B,associate's degree,standard,none,65,63,63
549,female,group D,associate's degree,standard,none,62,72,70
550,female,group C,some college,standard,none,83,90,85
551,male,group C,master's degree,standard,none,69,57,65
552,female,group D,associate's degree,free/reduced,none,57,75,73
553,male,group C,some college,free/reduced,completed,44,46,45
554,female,group D,some high school,standard,none,49,55,62
555,female,group D,bachelor's degree,standard,none,56,67,61
556,female,group C,some high school,free/reduced,completed,60,76,72
557,male,group C,high school,standard,none,72,62,59
558,male,group B,some high school,standard,none,78,73,67
559,male,group A,bachelor's degree,standard,none,57,59,58
560,male,group D,some high school,standard,completed,72,79,79
561,female,group B,associate's degree,standard,none,69,84,85
562,male,group D,associate's degree,standard,completed,77,79,78
563,male,group C,some high school,standard,completed,80,94,87
564,female,group D,associate's degree,standard,none,72,76,79
565,male,group B,bachelor's degree,free/reduced,none,71,70,67
566,male,group C,some college,free/reduced,none,74,84,73
567,female,group E,master's degree,standard,completed,84,83,88
568,male,group E,high school,standard,completed,85,84,85
569,female,group D,some college,standard,completed,59,77,77
570,female,group E,associate's degree,free/reduced,none,56,64,64
571,male,group D,high school,standard,none,86,81,81
572,female,group B,associate's degree,standard,none,54,74,71
573,male,group E,high school,standard,none,98,86,78
574,male,group C,associate's degree,standard,none,88,81,73
575,male,group C,some high school,free/reduced,none,67,72,67
576,male,group C,associate's degree,standard,none,75,74,66
577,female,group C,bachelor's degree,standard,none,66,78,72
578,male,group D,associate's degree,free/reduced,none,72,77,74
579,female,group D,some high school,free/reduced,completed,53,63,67
